,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Company,min_sal,max_sal,Salary(Avg),State,City,Position at HQ,Company Age,JavaScript,Python,C_plus,SQL,AWS
140,Sr. Software Engineer,$50K-$149K (Glassdoor est.),"A Sr. Software Engineer on the Revenue Analytics Technology team leads the full stack technical implementation for our products and solutions. You'll work directly with internal cross-functional and customer teams to deliver world class solutions for complex business problems. You'll also be accountable for providing thought leadership to the Revenue Analytics intellectual property portfolio, contributing to our sales efforts, and mentoring cross‐functional and junior Team Members.
A Day in the Life:
Hands-on software development
Own the overall plan for all technical pieces of a project including design and implementation
Proactively raise issues and questions in cross‐functional team meetings to ensure alignment
Collaborate with cross‐functional peers, both internally and externally, to design customer solutions
Respond to operational needs as they arise (ie system outages, critical bugs, etc.)
Mentor cross‐functional and junior Team Members, and invest in each other’s success
Provide technical and thought leadership and lead technical initiatives
Provide accurate estimates for project work at all levels of the project
Excel in a highly collaborative team environment with a diverse set of teams and perspectives
Participate in recruiting efforts and other RA initiatives
Complete administrative activities in a consistent and timely manner
Who You Are:
Master’s degree in computer science, information technology, engineering or a related technical field and 4+ years of relevant technical experience or a bachelor’s degree and 6+ years of relevant technical experience
6+ years of software engineering experience in a Linux/Unix or Windows environment
Strong CS fundamentals and fluent in at least one programming language, preferably Python
4+ years performing object-oriented design, data structures, algorithm design, problem solving, and complex analysis
Ability to structure and analyze large data sets
Knowledge of pandas and flask framework preferred
Knowledge of angular framework preferred
Experience working with a relational database and SQL preferred
Experience or knowledge of Linux/Unix systems and use of Shell
Knowledge of cloud computing platforms such as AWS and Azure
Experience with big data platforms (AWS, Athena, Hadoop, etc)
Experience designing, building, and optimizing front‐end applications
Prior experience with direct customer interaction in a SaaS based environment preferred
Willingness to travel
Why Join Revenue Analytics?
Because you have exceptional talents and you want to be part of a fun and highly collaborative team that creates analytical solutions to eliminate the unknowns in business problems for world-renowned companies.

Who We Are
Revenue Analytics is a SaaS company that helps big companies make big revenue decisions in pricing, products and promotions. Our analytics solutions drive millions in revenue uplift and eliminate wasted time.

Founded in 2005, we leverage our deep experience in pricing and revenue management to empower our customers with predictive analytics engines that drive complex pricing decisions. Fueled by a recent capital infusion of $11 million, we are accelerating the use of these engines to power pricing solutions in four industry verticals – Media, Hospitality, Rail & Cruise, and Consumer & Industrial Products.

Revenue Analytics embraces diversity and is an equal opportunity. We are committed to building a Team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be.",4.0,"Revenue Analytics
4.0","Atlanta, GA",-1,-1,-1,-1,-1,-1,-1,-1,"Revenue Analytics
",50,149,99.5, GA,Atlanta,0,-1,0,1,0,1,1
141,Software Engineer,$50K-$149K (Glassdoor est.),"Pittsburgh, PA, USA
Full Time

Email Me Similar Jobs Email Me This Job

THE GIG

RoadRunner is looking to hire a well-rounded and ambitious full-stack engineer to join our team!

We currently manage Recycling and Waste Management in multiple markets and are looking to grow our operation and technology this year. RoadRunner is planning to change the way people recycle while introducing tech into the industry that has never been done. We operate with many moving parts and there is no shortage of areas to improve on with excellent engineering.

We are looking for a grounded, ambitious, and detail-oriented software developer. Solid computer science fundamentals is required as well as an openness to use different technologies. Exposure to full-stack web development is a requirement for this position as well as experience with at least one popular front-end framework.

The main objective of this position is to build the foundation for RoadRunner's customer-facing applications. For the past two years, we have centered our technology around the core internal operations of the business. However, as we grow into more markets and productize our services, we will need to build a suite of applications for our clients.

RoadRunner is looking to provide a top-notch customer experience and the technology to back it up. You will work alongside a variety of disciplines including sales, design, and operations to develop high quality products. You will gain valuable system level experience as you integrate your work with our current technology and have the opportunity to develop brand new green-field projects.

Not only is this a great opportunity to help us grow our tech stack, but you'll also learn a lot about the Recycling and Waste Management industry and have the opportunity to be part of a growing startup.

REQUIREMENTS
Exposure to full-stack web development
Experience with at least one popular front-end framework

PERKS & BENEFITS
Full benefits package including health, dental, and vision insurance
Paid company holidays.
Company events, annual off-site retreat, happy hours, and other social events.
17 Paid Time Off days per year.
Outstanding company culture.

RoadRunner Recycling Inc.
https://roadrunnerwm.isolvedhire.com",4.2,"RoadRunner Recycling
4.2","Pittsburgh, PA","Pittsburgh, PA",51 to 200 employees,2014,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,"RoadRunner Recycling
",50,149,99.5, PA,Pittsburgh,1,6,0,0,0,0,0
142,Software Engineer,$50K-$149K (Glassdoor est.),"Pittsburgh, PA, USA
Full Time

Email Me Similar Jobs Email Me This Job

THE GIG

RoadRunner is looking to hire a well-rounded and ambitious full-stack engineer to join our team!

We currently manage Recycling and Waste Management in multiple markets and are looking to grow our operation and technology this year. RoadRunner is planning to change the way people recycle while introducing tech into the industry that has never been done. We operate with many moving parts and there is no shortage of areas to improve on with excellent engineering.

We are looking for a grounded, ambitious, and detail-oriented software developer. Solid computer science fundamentals is required as well as an openness to use different technologies. Exposure to full-stack web development is a requirement for this position as well as experience with at least one popular front-end framework.

The main objective of this position is to build the foundation for RoadRunner's customer-facing applications. For the past two years, we have centered our technology around the core internal operations of the business. However, as we grow into more markets and productize our services, we will need to build a suite of applications for our clients.

RoadRunner is looking to provide a top-notch customer experience and the technology to back it up. You will work alongside a variety of disciplines including sales, design, and operations to develop high quality products. You will gain valuable system level experience as you integrate your work with our current technology and have the opportunity to develop brand new green-field projects.

Not only is this a great opportunity to help us grow our tech stack, but you'll also learn a lot about the Recycling and Waste Management industry and have the opportunity to be part of a growing startup.

REQUIREMENTS
Exposure to full-stack web development
Experience with at least one popular front-end framework

PERKS & BENEFITS
Full benefits package including health, dental, and vision insurance
Paid company holidays.
Company events, annual off-site retreat, happy hours, and other social events.
17 Paid Time Off days per year.
Outstanding company culture.

RoadRunner Recycling Inc.
https://roadrunnerwm.isolvedhire.com",4.2,"RoadRunner Recycling
4.2","Pittsburgh, PA",-1,-1,-1,-1,-1,-1,-1,-1,"RoadRunner Recycling
",50,149,99.5, PA,Pittsburgh,0,-1,0,0,0,0,0
143,.NET Software Engineer,$50K-$149K (Glassdoor est.),"About You and Position Summary:

You’ve worked on large-scale enterprise systems and have come to realize there’s a better way to develop software—a platform of small, focused systems that each serve a specialized purpose and that can be delivered quickly. You’ve worked as both a developer and a consumer of enough APIs to have formed opinions on what makes an API useful and intuitive. You think in REST, know more about “HATEOAS” than how to spell it, and when it comes to message queues, you understand the implications of “at least once message delivery.” You might even be up to the challenge of naming things. Working with more junior developers gets you excited for the coaching opportunities, and more senior developers for the learning. Groking the business requirements is second-nature. You own what you wrote and jump in to help your team support the product when there’s a fire, and when the smoke clears you’re one of the first to say “ok, how can we make sure that doesn’t happen again?” You’re passionate and opinionated about great software; and most importantly, you love building real, working apps that surprise and delight your customers.

Under general supervision of the Engineering Manager, the Health Care Software Engineer is a full-stack engineer who performs work assignments in one or more of the following areas: providing technical guidance and direction to other staff members; participating in project planning and requirements definition; system/application design, system/application development, unit testing, support during QA and User Acceptance Testing, implementation and integration; customer support for and technical expertise in end-user decision support software tools and end-user computing technology; conducting all activities in accordance with standards and procedures.

Primary Accountabilities:

Technical (75%)
Design, develop, test, deploy and support new software solutions and changes to existing software solutions
Collaborate with team members and provide thoughtful discussion on tactics and strategies as they are selected
Translate Business Requirements into components of complex, loosely-coupled, distributed systems
Maintain awareness and familiarity with evolving trends in software development
Operational (25%)
Troubleshoot technical issues in a variety of application environments. This includes being able to research issues related to system configuration, software and database systems, and problems related to data integrity or conformity.
Maintain a focus on uptime and performance for high-volume solutions, hosted solutions
Required Qualifications:
1-5 years work related experience, B.S. in computer science or information systems fields required
1 or more years of experience in enterprise application development in the .NET environment
1 or more years of experience with Service oriented/RESTful API development
1 or more years of experience with database development and tuning in the MS SQL Server platform specifically: T-SQL, stored procedures, data warehousing and ETL, SSIS, SSRS, SSAS, MDX
Strong understanding of object orientation and familiarity with classical design patterns
Strong working knowledge of Web API, JavaScript Framework (Angular, React etc.), Typescript, JQuery, LINQ, HTML, Javascript, CSS
Strong working knowledge of ASP.NET (Web API, MVC, WebForms), HTML, JavaScript, CSS
Strong experience with ORMs (Entity Framework, NHibernate)
Ability to troubleshoot environment/hosting-related issues with web technology (DNS, LoadBalancing, IIS, Windows Server, SSL, Security Contexts, basic firewall and networking concepts)
Familiar with Service Orientation/RESTful Patterns and Concepts/API Design Fundamentals
Familiar with Dependency Injection and unit testing (Unity or Ninject)
Familiar with JavaScript best practices and design patterns (including supersets like TypeScript)
Familiar with JavaScript frameworks like Knockout, ReactJS, Backbone.JS or AngularJS
Familiar with JavaScript frameworks like Twitter Bootstrap, jQuery/jQueryUI, Modernizer, etc.
Familiar with source control systems and tools, including Git or Azure DevOps
Familiar with data persistence solutions other than RDBMS (Key/Value Stores, Document DBs, BLOB/Object Storage)
Familiar with caching techniques (eviction, patterns like cache-aside, aspect-injection, tools/vendor selection)
Familiar with mobile development platforms
Familiar with Message Oriented Architecture (RabbitMQ, MSMQ, Kafka)
Familiar with Cloud Technologies such as Azure Functions, Service Bus, AWS Lambda
Familiar with Serverless Development Concepts such as Docker, Kubernetes
Familiar with NoSQL, Document Store such as MongoDB, elasticSearch, Couchbase.
Familiar with Linux OS (centOS, Ubuntu)
Individual Competencies:
Integrity: Gains the trust of others by taking responsibility for own actions and telling the truth.
Teamwork: Builds relationships and works cooperatively with others, inside and outside the organization, to accomplish objectives to build and maintain mutually-beneficial partnerships, leverage information and achieve results.
Adaptable: Responds to change with a willingness to learn new ways to accomplish work objectives with a positive attitude.
Innovative: Ability to develop, sponsor, or support the introduction of new and improved methods, products, procedures or technologies.
Curious: A desire to inquire and learn, to seek new knowledge and wisdom, and to listen to the contributions of others with a genuine interest to better self, the team, and the organization.
Analytical and Critical Thinking: Ability to tackle a problem by using a logical, systematic, sequential approach.
Problem Solving: Gathers and analyzes information to generate and evaluate potential solutions to problems, issues and challenges while weighing the accuracy and relevance of the facts, data and information.
The physical demands described here are representative of those that must be met by an associate to successfully perform the major job responsibilities (essential functions) of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the major job responsibilities. This job description is not intended to be an exhaustive list of all duties, responsibilities, or qualifications associated with the job.

While performing the duties of this job, the associate is:
Regularly required to use hands to finger, handle or feel objects, tools or controls, and reach with hands or arms.
Regularly required to talk or hear and read instructions on a computer monitor and/or printed on paper.
Occasionally required to stand, kneel or stoop, and lift and/or move up to 25 pounds.
Frequently required to view items at an extremely close range and must be able to adjust and readjust focus.
Occasionally: Job requires this activity up to 33% of the time

Frequently: Job requires this activity between 33% - 66% of the time

Regularly: Job requires this activity more than 66% of the time

Safety:
Support a safe work environment by following safety rules and regulations and reporting all safety hazards.
As an Inmar Associate, you:
Put clients first and consistently display a positive attitude and behaviors that demonstrate an awareness and willingness to listen and respond to clients in order to meet their short-term and long-term needs, requirements and exceed their expectations.
Treat clients and teammates with courtesy, consideration and tact; you also have the ability to perceive the needs of internal and external clients and communicate effectively with the objective of delighting and retaining the client.
Build collaborative relationships and work cooperatively with others, inside and outside the organization, to accomplish objectives, develop and maintain mutually-beneficial partnerships, leverage information and achieve results.
Set and attain achievable, yet aggressive, goals with a sense of urgency and accountability.
Understand that results are important and focus on turning mission into action to achieve results following the principles of Flawless Execution while consistently complying with quality, service and productivity standards to meet deadlines and exceed expectations by giving our clients the best possible outcome.",3.0,"Inmar
3.0","Winston-Salem, NC","Winston Salem, NC",1001 to 5000 employees,1980,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,"Inmar
",50,149,99.5, NC,Winston-Salem,0,40,1,0,0,1,1
144,.NET Software Engineer,$50K-$149K (Glassdoor est.),"About You and Position Summary:

You’ve worked on large-scale enterprise systems and have come to realize there’s a better way to develop software—a platform of small, focused systems that each serve a specialized purpose and that can be delivered quickly. You’ve worked as both a developer and a consumer of enough APIs to have formed opinions on what makes an API useful and intuitive. You think in REST, know more about “HATEOAS” than how to spell it, and when it comes to message queues, you understand the implications of “at least once message delivery.” You might even be up to the challenge of naming things. Working with more junior developers gets you excited for the coaching opportunities, and more senior developers for the learning. Groking the business requirements is second-nature. You own what you wrote and jump in to help your team support the product when there’s a fire, and when the smoke clears you’re one of the first to say “ok, how can we make sure that doesn’t happen again?” You’re passionate and opinionated about great software; and most importantly, you love building real, working apps that surprise and delight your customers.

Under general supervision of the Engineering Manager, the Health Care Software Engineer is a full-stack engineer who performs work assignments in one or more of the following areas: providing technical guidance and direction to other staff members; participating in project planning and requirements definition; system/application design, system/application development, unit testing, support during QA and User Acceptance Testing, implementation and integration; customer support for and technical expertise in end-user decision support software tools and end-user computing technology; conducting all activities in accordance with standards and procedures.

Primary Accountabilities:

Technical (75%)
Design, develop, test, deploy and support new software solutions and changes to existing software solutions
Collaborate with team members and provide thoughtful discussion on tactics and strategies as they are selected
Translate Business Requirements into components of complex, loosely-coupled, distributed systems
Maintain awareness and familiarity with evolving trends in software development
Operational (25%)
Troubleshoot technical issues in a variety of application environments. This includes being able to research issues related to system configuration, software and database systems, and problems related to data integrity or conformity.
Maintain a focus on uptime and performance for high-volume solutions, hosted solutions
Required Qualifications:
1-5 years work related experience, B.S. in computer science or information systems fields required
1 or more years of experience in enterprise application development in the .NET environment
1 or more years of experience with Service oriented/RESTful API development
1 or more years of experience with database development and tuning in the MS SQL Server platform specifically: T-SQL, stored procedures, data warehousing and ETL, SSIS, SSRS, SSAS, MDX
Strong understanding of object orientation and familiarity with classical design patterns
Strong working knowledge of Web API, JavaScript Framework (Angular, React etc.), Typescript, JQuery, LINQ, HTML, Javascript, CSS
Strong working knowledge of ASP.NET (Web API, MVC, WebForms), HTML, JavaScript, CSS
Strong experience with ORMs (Entity Framework, NHibernate)
Ability to troubleshoot environment/hosting-related issues with web technology (DNS, LoadBalancing, IIS, Windows Server, SSL, Security Contexts, basic firewall and networking concepts)
Familiar with Service Orientation/RESTful Patterns and Concepts/API Design Fundamentals
Familiar with Dependency Injection and unit testing (Unity or Ninject)
Familiar with JavaScript best practices and design patterns (including supersets like TypeScript)
Familiar with JavaScript frameworks like Knockout, ReactJS, Backbone.JS or AngularJS
Familiar with JavaScript frameworks like Twitter Bootstrap, jQuery/jQueryUI, Modernizer, etc.
Familiar with source control systems and tools, including Git or Azure DevOps
Familiar with data persistence solutions other than RDBMS (Key/Value Stores, Document DBs, BLOB/Object Storage)
Familiar with caching techniques (eviction, patterns like cache-aside, aspect-injection, tools/vendor selection)
Familiar with mobile development platforms
Familiar with Message Oriented Architecture (RabbitMQ, MSMQ, Kafka)
Familiar with Cloud Technologies such as Azure Functions, Service Bus, AWS Lambda
Familiar with Serverless Development Concepts such as Docker, Kubernetes
Familiar with NoSQL, Document Store such as MongoDB, elasticSearch, Couchbase.
Familiar with Linux OS (centOS, Ubuntu)
Individual Competencies:
Integrity: Gains the trust of others by taking responsibility for own actions and telling the truth.
Teamwork: Builds relationships and works cooperatively with others, inside and outside the organization, to accomplish objectives to build and maintain mutually-beneficial partnerships, leverage information and achieve results.
Adaptable: Responds to change with a willingness to learn new ways to accomplish work objectives with a positive attitude.
Innovative: Ability to develop, sponsor, or support the introduction of new and improved methods, products, procedures or technologies.
Curious: A desire to inquire and learn, to seek new knowledge and wisdom, and to listen to the contributions of others with a genuine interest to better self, the team, and the organization.
Analytical and Critical Thinking: Ability to tackle a problem by using a logical, systematic, sequential approach.
Problem Solving: Gathers and analyzes information to generate and evaluate potential solutions to problems, issues and challenges while weighing the accuracy and relevance of the facts, data and information.
The physical demands described here are representative of those that must be met by an associate to successfully perform the major job responsibilities (essential functions) of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the major job responsibilities. This job description is not intended to be an exhaustive list of all duties, responsibilities, or qualifications associated with the job.

While performing the duties of this job, the associate is:
Regularly required to use hands to finger, handle or feel objects, tools or controls, and reach with hands or arms.
Regularly required to talk or hear and read instructions on a computer monitor and/or printed on paper.
Occasionally required to stand, kneel or stoop, and lift and/or move up to 25 pounds.
Frequently required to view items at an extremely close range and must be able to adjust and readjust focus.
Occasionally: Job requires this activity up to 33% of the time

Frequently: Job requires this activity between 33% - 66% of the time

Regularly: Job requires this activity more than 66% of the time

Safety:
Support a safe work environment by following safety rules and regulations and reporting all safety hazards.
As an Inmar Associate, you:
Put clients first and consistently display a positive attitude and behaviors that demonstrate an awareness and willingness to listen and respond to clients in order to meet their short-term and long-term needs, requirements and exceed their expectations.
Treat clients and teammates with courtesy, consideration and tact; you also have the ability to perceive the needs of internal and external clients and communicate effectively with the objective of delighting and retaining the client.
Build collaborative relationships and work cooperatively with others, inside and outside the organization, to accomplish objectives, develop and maintain mutually-beneficial partnerships, leverage information and achieve results.
Set and attain achievable, yet aggressive, goals with a sense of urgency and accountability.
Understand that results are important and focus on turning mission into action to achieve results following the principles of Flawless Execution while consistently complying with quality, service and productivity standards to meet deadlines and exceed expectations by giving our clients the best possible outcome.",3.0,"Inmar
3.0","Winston-Salem, NC",-1,-1,-1,-1,-1,-1,-1,-1,"Inmar
",50,149,99.5, NC,Winston-Salem,0,-1,1,0,0,1,1
145,Software Engineer,$50K-$149K (Glassdoor est.),"RESPONSIBILITIES:

Kforce has a client in search of a Software Engineer in Columbus, OH.

Can you picture yourself working for one of -America's Ideal Employers-? Our client has received numerous awards and accolades due in part to their commitment to diversity, veterans, and fostering innovation. They've been named one of Fortune Magazine's -World's Most Admired Companies- of 2018 and are included in the -Top 50 Most Innovative Companies- named by Boston Consulting Group. With on-site training and mentoring, they are committed to your professional development as well.

REQUIREMENTS:
Master or Bachelor's degree in Engineering, Computer Science or Information Systems
10 plus years of hands-on experience with Java, J2EE and related technologies
Proficient in Java J2EE application development skills as well as multiple design techniques
Working proficiency in Java J2EE development toolset to design, develop, test, deploy, maintain and improve software
Strong understanding of Agile methodologies with ability to work in at least one of the common frameworks
Strong understanding of techniques such as Continuous Integration, Continuous Delivery, Test Driven Development, Cloud Development, application resiliency and security
Proficiency in one or more general purpose programming languages
Working proficiency in a portion of software engineering disciplines and demonstrates understanding of overall software skills including business analysis, development, testing, deployment, maintenance and improvement of software
Technical Experience:
Technical proficiency in Java 8, Spring, and Spring Boot
Hands on experience developing and deploying applications to cloud platforms namely AWS & Cloud Foundry
Hands on experience with web technologies (e.g. HTTP, XML, REST, HTML, etc.)
Experience with NoSQL databases (Cassandra, MongoDB, etc.)
Experience with distributed streaming platform (Kafka)
Experience with web-based version control tools (GIT, Bitbucket)
Knowledge of IBM MQ message broker
Expertise in application, data and infrastructure architecture disciplines
Experience in DevOps - build, deployment, integration, code management and similar tools like Jenkins, Maven, automated deployment, etc.
Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",4.1,"Kforce
4.1","Columbus, OH","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,"Kforce
",50,149,99.5, OH,Columbus,0,54,0,0,0,1,1
146,Software Engineer,$50K-$149K (Glassdoor est.),"RESPONSIBILITIES:

Kforce has a client in search of a Software Engineer in Columbus, OH.

Can you picture yourself working for one of -America's Ideal Employers-? Our client has received numerous awards and accolades due in part to their commitment to diversity, veterans, and fostering innovation. They've been named one of Fortune Magazine's -World's Most Admired Companies- of 2018 and are included in the -Top 50 Most Innovative Companies- named by Boston Consulting Group. With on-site training and mentoring, they are committed to your professional development as well.

REQUIREMENTS:
Master or Bachelor's degree in Engineering, Computer Science or Information Systems
10 plus years of hands-on experience with Java, J2EE and related technologies
Proficient in Java J2EE application development skills as well as multiple design techniques
Working proficiency in Java J2EE development toolset to design, develop, test, deploy, maintain and improve software
Strong understanding of Agile methodologies with ability to work in at least one of the common frameworks
Strong understanding of techniques such as Continuous Integration, Continuous Delivery, Test Driven Development, Cloud Development, application resiliency and security
Proficiency in one or more general purpose programming languages
Working proficiency in a portion of software engineering disciplines and demonstrates understanding of overall software skills including business analysis, development, testing, deployment, maintenance and improvement of software
Technical Experience:
Technical proficiency in Java 8, Spring, and Spring Boot
Hands on experience developing and deploying applications to cloud platforms namely AWS & Cloud Foundry
Hands on experience with web technologies (e.g. HTTP, XML, REST, HTML, etc.)
Experience with NoSQL databases (Cassandra, MongoDB, etc.)
Experience with distributed streaming platform (Kafka)
Experience with web-based version control tools (GIT, Bitbucket)
Knowledge of IBM MQ message broker
Expertise in application, data and infrastructure architecture disciplines
Experience in DevOps - build, deployment, integration, code management and similar tools like Jenkins, Maven, automated deployment, etc.
Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",4.1,"Kforce
4.1","Columbus, OH",-1,-1,-1,-1,-1,-1,-1,-1,"Kforce
",50,149,99.5, OH,Columbus,0,-1,0,0,0,1,1
147,Software Engineer,$50K-$149K (Glassdoor est.),"Company Description

Amwell is a leading telehealth platform in the United States and globally, connecting and enabling providers, insurers, patients, and innovators to deliver greater access to more affordable, higher quality care. Amwell believes that digital care delivery will transform healthcare. We offer a single, comprehensive platform to support all telehealth needs from urgent to acute and post-acute care, as well as chronic care management and healthy living. With over a decade of experience, Amwell powers telehealth solutions for over 240 health systems comprised of 2,000 hospitals and 55 health plan partners with over 36,000 employers, covering over 150 million lives.

Brief Overview:

As a Software Engineer, you'll be a critical part of our close-knit agile development team in Reston, Virginia, working on our AWS-based acute care platform. The Amwell acute care telehealth platform enables remote providers (doctors and nurses) to perform real-time visits with patients in geographically dispersed hospital systems and urgent care facilities around the world, and integrates seamlessly with our on-site telemedicine cart hardware (which is linux-based, and also designed here in Reston by our devices team).

Our scalable, microservice-based architecture employs Node, Express, and Postgres on the backend, AngularJS/Angular on the front-end, and is deployed by our in-house DevOps group using a Jenkins-based CI/CD pipeline in AWS. All our Software Engineers work full-stack and across all layers and components of our platform, including front-end business logic, APIs, back-end middleware, data access, SQL query design/optimization, and microservice design / implementation.

Core Responsibilities:
Develop and support proprietary applications, websites, APIs, and microservices using JavaScript, Typescript, AngularJS, Angular, Node.js, Express, and Postgres.
Work together as part of close-knit and multi-geography agile (Kanban/scrum) development team.
Work under minimal supervision; will be provided with assignments and objectives and given wide latitude for independent judgment
Perform other duties as assigned
Qualifications:
1+ years of industry experience AngularJS
Experience with modern JavaScript build tools such as bower, npm, grunt/gulp
Background with additional front end development technologies such as HTML5, CSS3, Node.JS
Strong capabilities with JavaScript
Experience with MySQL and Relational Database Design
Excellent problem-solving skills
Additional Information

Your Team

Should you join Amwell and the Engineering team, you can expect:

The development organization is a multi-disciplinary team of engineers dedicated to creating a state of the art TeleHealth experience on every platform we can get our hands on. Our cross functional teams follow a pragmatic Agile methodology as we balance feature requests, strategic initiatives, tech debt, and exciting partnerships on the path to delivering a market leading product to a quickly growing customer base. We work hand in hand with the whole Amwell organization to ensure that our product meets the needs of all of our users.

Working at Amwell

Amwell is changing how care is delivered through online and mobile technology. We strive to make the hard work of healthcare look easy. In order to make this a reality, we look for people with a fast-paced, mission-driven mentality. We're a go-getter culture that prides itself on quality, efficiency, smarts, initiative, creative thinking, and a strong work ethic. In addition to the opportunity to build the future of healthcare technology and a great location in Reston, VA (20 miles outside Washington, D.C.) we offer:
Unlimited Personal Time Off (Vacation time)
401K match
Competitive healthcare, dental and vision insurance plans
Free gym access on-site
Prime office space with views overlooking downtown Reston/Herndon
Complimentary snacks and drinks",3.4,"Amwell
3.4","Reston, VA","Boston, MA",201 to 500 employees,2007,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,"Amwell
",50,149,99.5, VA,Reston,0,13,1,0,0,1,1
148,Software Engineer,$50K-$149K (Glassdoor est.),"Company Description

Amwell is a leading telehealth platform in the United States and globally, connecting and enabling providers, insurers, patients, and innovators to deliver greater access to more affordable, higher quality care. Amwell believes that digital care delivery will transform healthcare. We offer a single, comprehensive platform to support all telehealth needs from urgent to acute and post-acute care, as well as chronic care management and healthy living. With over a decade of experience, Amwell powers telehealth solutions for over 240 health systems comprised of 2,000 hospitals and 55 health plan partners with over 36,000 employers, covering over 150 million lives.

Brief Overview:

As a Software Engineer, you'll be a critical part of our close-knit agile development team in Reston, Virginia, working on our AWS-based acute care platform. The Amwell acute care telehealth platform enables remote providers (doctors and nurses) to perform real-time visits with patients in geographically dispersed hospital systems and urgent care facilities around the world, and integrates seamlessly with our on-site telemedicine cart hardware (which is linux-based, and also designed here in Reston by our devices team).

Our scalable, microservice-based architecture employs Node, Express, and Postgres on the backend, AngularJS/Angular on the front-end, and is deployed by our in-house DevOps group using a Jenkins-based CI/CD pipeline in AWS. All our Software Engineers work full-stack and across all layers and components of our platform, including front-end business logic, APIs, back-end middleware, data access, SQL query design/optimization, and microservice design / implementation.

Core Responsibilities:
Develop and support proprietary applications, websites, APIs, and microservices using JavaScript, Typescript, AngularJS, Angular, Node.js, Express, and Postgres.
Work together as part of close-knit and multi-geography agile (Kanban/scrum) development team.
Work under minimal supervision; will be provided with assignments and objectives and given wide latitude for independent judgment
Perform other duties as assigned
Qualifications:
1+ years of industry experience AngularJS
Experience with modern JavaScript build tools such as bower, npm, grunt/gulp
Background with additional front end development technologies such as HTML5, CSS3, Node.JS
Strong capabilities with JavaScript
Experience with MySQL and Relational Database Design
Excellent problem-solving skills
Additional Information

Your Team

Should you join Amwell and the Engineering team, you can expect:

The development organization is a multi-disciplinary team of engineers dedicated to creating a state of the art TeleHealth experience on every platform we can get our hands on. Our cross functional teams follow a pragmatic Agile methodology as we balance feature requests, strategic initiatives, tech debt, and exciting partnerships on the path to delivering a market leading product to a quickly growing customer base. We work hand in hand with the whole Amwell organization to ensure that our product meets the needs of all of our users.

Working at Amwell

Amwell is changing how care is delivered through online and mobile technology. We strive to make the hard work of healthcare look easy. In order to make this a reality, we look for people with a fast-paced, mission-driven mentality. We're a go-getter culture that prides itself on quality, efficiency, smarts, initiative, creative thinking, and a strong work ethic. In addition to the opportunity to build the future of healthcare technology and a great location in Reston, VA (20 miles outside Washington, D.C.) we offer:
Unlimited Personal Time Off (Vacation time)
401K match
Competitive healthcare, dental and vision insurance plans
Free gym access on-site
Prime office space with views overlooking downtown Reston/Herndon
Complimentary snacks and drinks",3.4,"Amwell
3.4","Reston, VA",-1,-1,-1,-1,-1,-1,-1,-1,"Amwell
",50,149,99.5, VA,Reston,0,-1,1,0,0,1,1
149,Software Engineer Senior,$50K-$149K (Glassdoor est.),"Position Description:

Provide IT development, integration and operational support (DevOps) for multiple digital properties hosted on Adobe Experience Manager (AEM) and micro services on Pivotal Cloud Foundry (PCF) platforms. The position is a developer role that requires one to understand the overall technical solution and work with multiple Ford IT teams to develop AEM components, single page applications (SPA) and services on PCF as needed. Responsibilities are: 1. Develop applications using Adobe Experience Manager and Angular framework as well as Spring boot on the PCF platform. 2. Liaison between the dev teams and Ford IT teams to develop and implement application that meet business requirements. 3. Develop CI/CD pipelines to automate build and deploy. 4. Work in Agile delivery model and participate in daily stand ups

Skills Required:

Adobe Experience Manager and Adobe marketing cloud products , React JS, Typescript JS, Spring platform, Node JS, OAuth2.0

Education Required:

B.S. Information Systems, Computer Science or equivalent work experience in the requested field",3.3,"Miracle Software Systems
3.3",Michigan,"Novi, MI",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"CSC, IBM","Miracle Software Systems
",50,149,99.5, MI,Mich,0,26,0,0,0,0,0
